horas_estudio,asistencia_pct,tareas_entregadas,participacion,horas_sueno,promedio_final
13.8,79.1,10,5.2,7.6,100.0
8.3,84.8,8,7.0,5.9,100.0
5.9,84.8,9,6.6,6.4,100.0
9.5,89.1,7,4.9,8.5,100.0
9.7,94.0,4,4.3,6.6,90.5
13.1,77.5,4,8.2,9.3,100.0
11.5,85.0,5,6.4,7.1,100.0
10.1,97.9,5,5.3,7.5,97.2
13.4,80.1,9,6.8,8.7,100.0
5.4,79.4,9,8.9,7.2,99.1
7.1,87.6,9,3.1,6.1,99.3
6.2,92.8,8,4.5,7.0,96.9
7.8,86.1,7,5.4,7.1,95.5
4.9,96.6,8,9.5,5.7,98.9
10.9,92.9,6,7.5,6.8,100.0
8.3,92.7,8,8.3,6.4,100.0
4.6,90.4,9,5.1,8.0,100.0
6.0,100.0,9,5.1,7.1,100.0
9.9,84.4,8,7.8,6.8,100.0
11.5,70.0,4,7.1,7.0,97.4
15.0,98.8,9,7.9,7.3,100.0
17.7,82.3,6,6.7,7.7,100.0
10.2,86.9,9,7.5,6.1,95.8
6.0,96.5,7,7.3,6.1,92.3
2.6,73.2,10,8.3,8.2,86.0
9.8,76.0,6,8.4,6.7,91.0
6.6,73.2,10,4.2,5.7,89.1
7.8,79.6,9,3.2,7.5,100.0
7.2,89.5,6,8.7,7.6,100.0
8.6,90.2,7,9.0,5.6,100.0
12.2,88.2,7,5.3,7.3,100.0
9.5,74.7,9,3.8,7.8,100.0
8.5,67.5,8,7.2,7.5,96.0
5.9,86.4,9,8.6,7.7,100.0
4.0,82.2,6,10.0,5.7,98.4
7.5,89.7,7,7.9,7.4,100.0
8.8,91.6,7,6.4,6.8,100.0
14.3,87.1,10,5.5,6.6,100.0
9.4,92.1,6,7.0,8.0,100.0
11.9,87.8,8,6.5,8.6,100.0
7.5,90.2,4,5.3,8.9,88.7
5.4,80.4,9,10.0,8.4,100.0
6.1,84.6,6,10.0,7.0,100.0
6.8,87.6,6,8.9,7.5,97.0
15.4,92.6,8,5.4,7.9,100.0
6.5,82.9,7,8.5,7.2,100.0
11.5,90.2,9,8.1,7.2,100.0
6.3,83.9,7,7.8,7.9,100.0
11.8,85.1,7,9.1,7.0,100.0
10.2,92.6,4,8.1,6.4,98.3
8.5,70.1,4,8.3,6.7,100.0
8.9,75.6,6,8.1,7.7,98.8
7.0,74.1,10,7.6,7.1,100.0
10.3,67.3,10,4.0,7.4,100.0
7.6,80.6,8,7.1,7.8,100.0
5.3,92.0,8,6.1,6.7,87.8
5.2,83.7,6,4.8,7.9,89.8
9.5,87.6,5,9.9,7.5,98.2
13.7,94.7,4,9.9,5.9,100.0
9.5,96.6,6,9.3,8.5,100.0
8.6,85.4,6,7.4,6.6,97.3
9.9,96.8,5,9.3,5.4,100.0
12.9,86.7,5,7.0,6.1,100.0
9.7,79.3,4,7.3,6.1,94.7
7.8,81.2,8,5.1,7.2,100.0
12.3,74.2,10,7.7,6.8,100.0
10.3,78.9,8,7.1,6.8,100.0
13.6,83.1,7,4.8,7.7,100.0
9.5,92.4,6,6.9,7.4,100.0
5.3,99.8,6,6.9,7.4,98.4
4.9,74.9,4,10.0,7.5,96.9
14.0,89.1,8,8.5,7.7,100.0
14.2,77.7,7,7.0,5.0,100.0
8.5,89.8,4,7.4,6.7,98.2
7.9,85.0,6,7.1,4.9,93.3
13.4,71.4,5,6.7,7.1,100.0
5.7,93.4,5,5.2,7.1,95.9
6.3,81.2,8,6.7,8.1,100.0
10.9,81.7,7,5.7,8.3,100.0
7.8,77.4,8,4.9,7.3,100.0
9.0,80.8,8,7.9,6.6,100.0
8.5,89.4,10,7.7,7.6,100.0
10.0,84.5,9,4.0,6.6,100.0
13.2,88.6,8,6.8,7.1,100.0
9.3,88.9,10,8.7,8.1,100.0
10.9,96.6,7,8.8,6.5,100.0
2.8,83.3,10,8.7,7.9,100.0
8.9,74.2,9,7.1,7.8,100.0
6.5,94.5,8,5.6,6.1,100.0
5.3,83.3,10,5.2,8.1,87.0
6.4,94.9,7,7.6,7.8,91.0
8.0,89.1,9,7.6,7.2,100.0
11.7,85.0,5,9.2,6.3,100.0
5.0,88.8,10,8.9,6.2,100.0
9.1,100.0,8,6.8,6.6,100.0
7.5,100.0,9,4.9,7.6,100.0
8.0,86.6,7,6.5,6.1,100.0
12.0,87.3,10,7.4,7.5,100.0
10.6,94.6,4,6.7,5.9,100.0
13.0,79.2,4,6.0,6.9,100.0
8.5,88.7,7,7.4,7.2,100.0
6.9,85.8,9,6.1,9.5,92.0
8.3,88.5,9,5.9,5.7,100.0
9.7,79.3,7,7.5,8.6,100.0
9.5,73.3,8,6.3,7.2,94.2
5.7,69.4,7,7.4,7.5,90.6
9.3,77.1,10,7.5,7.2,100.0
9.7,82.3,8,5.1,7.5,98.3
16.6,83.7,6,6.2,6.9,100.0
14.6,100.0,10,9.4,8.6,100.0
6.4,94.8,4,5.0,6.6,95.2
8.1,78.3,10,3.4,8.2,100.0
4.6,88.8,5,3.8,6.5,84.9
7.2,82.7,6,7.0,7.0,84.1
9.9,83.7,9,7.1,6.0,100.0
12.6,87.5,9,6.8,7.6,100.0
6.8,91.0,10,9.1,8.5,95.2
7.0,83.3,9,2.5,7.0,93.6
2.6,94.5,8,7.7,6.9,88.8
8.5,76.9,6,9.7,6.0,100.0
5.8,86.1,4,5.1,6.9,85.0
7.4,100.0,4,6.4,5.5,98.6
